trainer_code,season,date,venue,race_index,horse_name,place,total_starters,track,course,distance_m,going,draw,rating,win_odds,jockey,gear,horse_weight_lbs,actual_wt_lbs,top1,top2,top3
NPC,Current,29/04/2026,跑馬地,653,我做到,10,12,草地,C,1650,好,2,69,72,鍾易禮,H/TT,1093,125,穿甲金鷹,魅力知耀,凡凡有餘
NPC,Current,29/04/2026,跑馬地,649,幸運大夫,12,12,草地,C,1200,好,12,59,101,奧爾民,XB-/B1/TT-,1187,135,電玩精英,巴閉王,銳高
NPC,Current,29/04/2026,跑馬地,647,包裝旋風,8,12,草地,C,2200,好/黏,4,49,12,班德禮,B/TT,977,127,佰勝金龍,雙贏,富喜來
NPC,Current,29/04/2026,跑馬地,646,金多囍,10,12,草地,C,1200,好/黏,5,46,5.6,田泰安,PC/TT,1127,122,可靠大師,友得盈,至合拍
NPC,Current,29/04/2026,跑馬地,645,同寶寶,9,12,草地,C,1800,好/黏,6,15,14,黃寶妮,CP-/B2/TT,1093,108,滿洛城,揚威四海,富裕君子
NPC,Current,26/04/2026,沙田,644,飛鷹翱翔,5,14,草地,A,1400,好/快,12,87,136,鍾易禮,,1083,115,時時歡聲,韋金主,千帆駒
NPC,Current,26/04/2026,沙田,641,友瑩仁,4,14,草地,A,1400,好/快,2,66,6.9,艾兆禮,H/TT,1135,123,三軍勇將,喜蓮勁感,一世美麗
NPC,Current,26/04/2026,沙田,640,錶之銀河,7,14,草地,A,1600,好/快,13,120,23,田泰安,B/TT,1161,126,祝願,百賀飛駒,港邊小區
NPC,Current,26/04/2026,沙田,637,綠色鐵驥,12,14,草地,A,1400,好/快,9,52,56,金誠剛,B1,1134,127,勁勇皇駒,嵐臣,星光快驅
NPC,Current,26/04/2026,沙田,635,唯美主義,9,14,草地,A,1600,好/快,9,52,28,希威森,PC-,1048,127,大回報,旌採,都靈冠星
NPC,Current,26/04/2026,沙田,634,我最好,13,14,草地,A,1200,好/快,13,46,182,艾兆禮,B/TT,1126,120,包裝天王,利高八斗,星光大道
NPC,Current,22/04/2026,跑馬地,632,包裝戰仕,6,12,草地,B,1800,好/快,10,61,7.2,艾兆禮,SR/TT,1147,116,豐辰,祥勝將軍,奔放
NPC,Current,22/04/2026,跑馬地,631,藍地球,9,12,草地,B,1000,好/快,3,66,45,艾兆禮,B/TT,1121,122,領航君子,馬力,富心星
NPC,Current,22/04/2026,跑馬地,630,添開心,8,12,草地,B,1000,好/快,2,60,9.9,周俊樂,V/TT,1181,133,皇者有利,鴻圖新星,天火同人
NPC,Current,19/04/2026,沙田,624,嘉應傳承,2,14,草地,C+3,1800,好/快,2,82,14,艾兆禮,CP/TT,1142,117,海上大軍,嘉應傳承,春風萬里
NPC,Current,19/04/2026,沙田,622,友瑩亮,6,12,草地,C+3,1400,好/快,9,73,2.4,潘頓,CP,1127,129,首飾天空,大眾福星,超輕鬆
NPC,Current,19/04/2026,沙田,619,奮鬥心,4,14,全天候,,1650,好,9,60,17,周俊樂,TT,1010,133,花開,林寶精神,盛勢威楓
NPC,Current,19/04/2026,沙田,617,文武全能,9,14,草地,C+3,1400,好/快,5,41,9.9,潘明輝,PC,1062,116,洪才,有情有義,共創歡欣
NPC,Current,19/04/2026,沙田,615,鼓浪高升,10,12,全天候,,1200,好,10,34,158,周俊樂,B/TT,1090,128,魅力星,爆熱,城中勇士
NPC,Current,19/04/2026,沙田,614,十力,8,14,全天候,,1800,好,2,38,18,艾兆禮,TT,1127,133,領創動力,風起雲湧,開心三多
NPC,Current,15/04/2026,跑馬地,613,幸運大夫,10,12,草地,A,1200,好,11,61,210,何澤堯,XB/TT,1201,120,嘉應勇將,關鍵所在,棒棒糖
NPC,Current,15/04/2026,跑馬地,612,我做到,10,11,草地,A,1650,好,2,71,33,周俊樂,H/TT,1096,128,榮利雙收,浪漫鬥士,穿甲金鷹
NPC,Current,15/04/2026,跑馬地,610,飛越晨曦,10,10,草地,A,1200,好,4,40,127,黃寶妮,H-/V/XB/TT,1114,108,勇霸龍,快樂神駒,馬達
NPC,Current,15/04/2026,跑馬地,609,極光之子,5,11,草地,A,1650,好,10,74,19,周俊樂,TT,1020,128,一起美麗,做好自己,知道穩勝
NPC,Current,15/04/2026,跑馬地,607,手到再來,4,12,草地,A,1650,好,5,40,5.9,黃寶妮,TT,1168,108,凡凡有餘,時間寶,爆竹
NPC,Current,12/04/2026,沙田,604,維港智能,7,12,草地,C,1200,好,4,87,137,楊明綸,TT,1078,122,翠紅,扶搖勢勁,競駿輝煌
NPC,Current,12/04/2026,沙田,602,太子,8,12,草地,C,1400,好,10,62,17,艾兆禮,B/TT,1054,120,重情重義,安泰,亨驥
NPC,Current,12/04/2026,沙田,599,應龍飛影,2,12,草地,C,1200,好,1,49,7.7,袁幸堯,TT1,1150,114,精英高球,應龍飛影,櫻花酒杯
NPC,Current,12/04/2026,沙田,598,維港激流,6,12,草地,C,1200,好,10,60,46,周俊樂,B/TT,1040,133,輝灑自如,辣得準,華麗再贏
NPC,Current,12/04/2026,沙田,597,開心旺財,8,14,草地,C,1400,好,5,50,125,田泰安,CP-/H1/PC1,1050,125,開心老闆,醒目先駒,創寶駒
NPC,Current,12/04/2026,沙田,596,同寶寶,6,14,草地,C,1600,好,1,15,21,巴度,CP/TT,1098,117,金鑽精靈,威威父子,極速之子
NPC,Current,12/04/2026,沙田,595,同有運,10,14,草地,C,1400,好,6,40,8,黃寶妮,B/TT,1063,128,劍無情,怡昌奇兵,順善寶
NPC,Current,08/04/2026,跑馬地,593,盈妍威楓,6,12,草地,C+3,1200,好,11,62,62,艾兆禮,B/TT,1084,120,俏眼光,人和家興,喵喵怪
NPC,Current,08/04/2026,跑馬地,592,長勝隊長,7,12,草地,C+3,1200,好,12,63,17,金誠剛,TT,999,122,精彩駿將,富國兄弟,晶晶日上
NPC,Current,08/04/2026,跑馬地,590,金多囍,7,12,草地,C+3,1200,好,12,48,35,田泰安,PC/TT,1123,123,富心星,電玩精英,跨境駿馬
NPC,Current,08/04/2026,跑馬地,589,飛越晨曦,12,12,草地,C+3,1200,好,3,42,223,金誠剛,PC-/H/XB/V1/TT,1102,119,你知我得,朗日自強,三強
NPC,Current,08/04/2026,跑馬地,586,唯美主義,8,12,草地,C+3,1650,好,12,54,29,希威森,PC1,1042,131,上浦福旺,隨緣得勝,耀昌勝世
NPC,Current,06/04/2026,沙田,583,飛鷹翱翔,5,10,草地,B+2,1400,好,4,89,13,袁幸堯,CP-,1075,117,綠族無限,時時歡聲,韋金主
NPC,Current,06/04/2026,沙田,583,玩笑,10,10,草地,B+2,1400,好,2,90,43,周俊樂,PC1/TT,1120,126,綠族無限,時時歡聲,韋金主
NPC,Current,06/04/2026,沙田,582,錶之銀河,4,14,草地,B+2,1600,好,9,121,10,田泰安,B/TT,1172,123,金鑽貴人,祝願,遨遊氣泡
NPC,Current,06/04/2026,沙田,579,藍地球,9,12,草地,B+2,1000,好,5,68,44,奧爾民,B2/TT1,1110,125,會長之寶,好評如潮,幸運糖
NPC,Current,06/04/2026,沙田,577,我最好,11,14,草地,B+2,1400,好,3,48,69,艾兆禮,B1/TT,1122,123,文明福星,機械之星,明亮天下
NPC,Current,06/04/2026,沙田,576,堅闖,8,13,草地,B+2,1600,好,3,44,42,艾兆禮,B/SR,1065,123,大回報,天蓬貓,紅衣醒目
NPC,Current,01/04/2026,沙田,573,包裝戰仕,11,14,全天候,,1650,好,9,63,5.5,楊明綸,SR/TT,1143,115,將睿,精英雄心,安泰
NPC,Current,01/04/2026,沙田,569,精明選擇,2,14,全天候,,1800,好,7,44,8.5,楊明綸,CP/TT,1159,120,開心宇宙,精明選擇,有派頭
NPC,Current,01/04/2026,沙田,569,十力,5,14,全天候,,1800,好,1,40,15,艾兆禮,TT,1122,116,開心宇宙,精明選擇,有派頭
NPC,Current,01/04/2026,沙田,567,奮鬥心,2,14,全天候,,1650,好,4,59,14,周俊樂,TT,1002,133,風繼續吹,奮鬥心,火神神樂
NPC,Current,01/04/2026,沙田,566,齊歡最樂,13,14,全天候,,1650,好,14,37,44,艾兆禮,B/TT,1211,132,光輝歲月,大利好運,朗日雪峰
NPC,Current,01/04/2026,沙田,565,鼓浪高升,9,12,全天候,,1200,好,12,36,47,周俊樂,B/TT,1096,130,爆熱,銀亮濠俠,魅力星
NPC,Current,29/03/2026,沙田,562,維港智能,10,10,草地,A+3,1200,好/快,5,91,130,楊明綸,TT,1076,128,競駿輝煌,錶之星河,燈胆將軍
NPC,Current,29/03/2026,沙田,561,幸運大夫,11,11,草地,A+3,1400,好/快,4,63,217,楊明綸,H-/XB/TT,1191,120,極上紗瓏,開心三寶,新力好
NPC,Current,29/03/2026,沙田,559,飛越晨曦,14,14,草地,A+3,1400,好/快,2,45,250,鍾易禮,H/PC/XB/TT,1116,119,勁勇皇駒,馬上盈,綫路萬里
NPC,Current,29/03/2026,沙田,558,佐治傳奇,3,14,草地,A+3,1000,好/快,9,53,6.9,潘明輝,PC1,1091,128,大愛無疆,日出東方,佐治傳奇
NPC,Current,29/03/2026,沙田,556,步風雷,12,12,草地,A+3,2000,好/快,4,52,5.1,艾兆禮,PC/TT,1051,128,同益善,風火恆雲,禾道威
NPC,Current,29/03/2026,沙田,555,文武全能,3,14,草地,A+3,1400,好/快,14,42,25,潘明輝,PC,1049,119,盛勢威楓,龍傲綾羅,文武全能
NPC,Current,29/03/2026,沙田,554,江南盛,14,14,草地,A+3,1400,好/快,1,21,25,鍾易禮,TT,1108,114,部族高手,金鑽精靈,飛躍凱旋
NPC,Previous,16/07/2025,跑馬地,847,維港激流,3,12,草地,B,1200,好/快,12,62,13,賀銘年,TT,1035,119,至尊瑰寶,勇霸龍,維港激流
NPC,Previous,16/07/2025,跑馬地,846,晨曦儷人,3,12,草地,B,1200,好/快,12,89,41,艾兆禮,CP/TT,1165,119,美麗第一,好友心得,晨曦儷人
NPC,Previous,16/07/2025,跑馬地,845,盈妍威楓,10,12,草地,B,1650,好/快,7,68,10,梁家俊,B/TT,1095,127,智勇名駒,盈好威楓,大學生
NPC,Previous,16/07/2025,跑馬地,843,比特星,5,12,草地,B,1200,好/快,7,51,18,周俊樂,,1037,125,智勝攻略,可靠大師,鴻圖新星
NPC,Previous,16/07/2025,跑馬地,842,奮鬥心,3,12,草地,B,1800,好/快,12,58,12,奧爾民,TT,1010,134,三江飛輪,美麗歡聲,奮鬥心
NPC,Previous,13/07/2025,沙田,833,閃電箭,12,14,草地,A,1400,好/快,6,52,149,黃智弘,,1015,123,精算激流,做好自己,銳一
NPC,Previous,13/07/2025,沙田,832,手到再來,8,14,草地,A,1600,好/快,11,58,15,黃寶妮,TT,1156,123,開心宇宙,準輝煌,加州星皓
NPC,Previous,13/07/2025,沙田,831,金多囍,7,14,草地,A,1400,好/快,2,46,16,黃寶妮,B,1102,111,十二神將,葳莉非凡,豐辰
NPC,Previous,09/07/2025,跑馬地,826,包裝創新,3,12,草地,A,1800,好/快,6,78,3.7,潘頓,XB/TT,1048,126,銀進,木火兄弟,包裝創新
NPC,Previous,09/07/2025,跑馬地,824,添開心,6,11,草地,A,1000,好/快,1,67,9.9,艾兆禮,B/TT,1165,122,狀元及第,燭光晚餐,路路勁
NPC,Previous,09/07/2025,跑馬地,823,飛越星空,10,12,草地,A,1650,好/快,4,52,53,奧爾民,XB/TT,1160,127,赤馬雄風,勁進駒,川河首駒
NPC,Previous,09/07/2025,跑馬地,822,神舟彎月,11,12,草地,A,1000,好/快,1,42,75,湯普新,B,1021,118,幸運二十,天火同人,瑤瑤日上
NPC,Previous,09/07/2025,跑馬地,821,維港激流,1,12,草地,A,1200,好/快,8,52,13,周俊樂,TT,1032,125,維港激流,智勝攻略,獵寶勤
NPC,Previous,09/07/2025,跑馬地,820,無敵精英,9,12,草地,A,1650,好/快,11,23,45,艾兆禮,H/PC/TT,1107,118,新幹線,領創動力,魔法速遞
NPC,Previous,05/07/2025,沙田,813,友瑩仁,7,14,草地,C+3,1400,好/快,3,56,16,奧爾民,H/TT,1087,131,安都,多彩多姿,博愛先鋒
NPC,Previous,05/07/2025,沙田,812,友瑩亮,,,草地,C+3,1200,好/快,11,59,8.6,黃智弘,CP,1120,129,嘉應駿馬,勁者,英雄戰歌
NPC,Previous,05/07/2025,沙田,811,無敵精英,9,14,草地,C+3,1600,好/快,2,23,10,艾兆禮,H/PC/TT,1093,118,佳福駒,駿彩飛馳,無極勇將
NPC,Previous,05/07/2025,沙田,810,陽光寶貝,10,12,全天候,,1200,好,4,41,7.7,董明朗,B/TT,1180,118,勁先生,日日獎,囍眼光
NPC,Previous,01/07/2025,沙田,807,手到再來,11,14,草地,C,1600,好,9,60,16,艾兆禮,TT,1143,117,元朗精英,昭易搵,本領輝煌
NPC,Previous,01/07/2025,沙田,805,神駒馬靈,8,14,草地,C,1600,好,11,48,9.7,艾道拿,PC/TT,1105,125,彭玥,紅衣醒目,禾道威
NPC,Previous,01/07/2025,沙田,804,長勝隊長,5,13,草地,C,1000,好,8,65,49,梁家俊,,1004,120,英雄豪傑,展雄威,會長之寶
NPC,Previous,01/07/2025,沙田,802,神虎龍駒,12,12,草地,C,1400,好,5,99,33,黃智弘,,1041,130,光年魅力,米奇,得道猴王
NPC,Previous,01/07/2025,沙田,798,同寶寶,2,14,草地,C,1800,好,13,27,9.5,蔡明紹,H/PC/TT,1074,122,金德義,同寶寶,凱旋七福
NPC,Previous,28/06/2025,沙田,796,都靈福星,9,14,全天候,,1650,濕慢,10,76,21,奧爾民,PC/TT,1117,135,艾莉奧,智跑得,新意馬
NPC,Previous,28/06/2025,沙田,795,祥龍駒,4,13,草地,B,1400,好,11,50,19,艾道拿,B/TT,1074,125,同心同樂,一生好彩,糖不甩
NPC,Previous,28/06/2025,沙田,794,晨曦儷人,6,8,草地,B,1000,好,7,90,11,潘明輝,CP/TT,1163,120,美麗第一,氣勢,魔術控制
NPC,Previous,28/06/2025,沙田,793,十力,8,13,全天候,,1650,濕慢,9,60,49,奧爾民,,1172,135,川河型駒,風繼續吹,閃耀威龍
NPC,Previous,28/06/2025,沙田,791,步風雷,3,12,草地,B,2000,好,6,40,6.3,蔡明紹,TT,1026,117,三江飛輪,管之友,步風雷
NPC,Previous,28/06/2025,沙田,787,添喜運,3,14,草地,B,1400,好,9,39,12,黃智弘,B/TT,1196,129,冠寶駒,綫路萬里,添喜運
NPC,Previous,25/06/2025,跑馬地,785,唯美主義,6,12,草地,C,1650,好/快,7,73,11,艾兆禮,,1046,132,暴風之子,浪漫老撾,香港神駒
NPC,Previous,25/06/2025,跑馬地,784,奮鬥心,7,12,草地,C,1650,好/快,4,60,7.3,奧爾民,TT,1003,135,龍文鞭影,川河首駒,加州活力
NPC,Previous,25/06/2025,跑馬地,783,比特星,6,12,草地,C,1200,好/快,7,51,19,鍾易禮,,1043,124,快搏,星之願,可靠大師
NPC,Previous,25/06/2025,跑馬地,782,添開心,4,12,草地,C,1000,好/快,8,69,12,艾兆禮,B/TT,1178,125,八駿巨昇,年少多好,富心星
NPC,Previous,25/06/2025,跑馬地,782,好多利高,,,草地,C,1000,好/快,11,60,49,田泰安,CP/TT,1115,116,八駿巨昇,年少多好,富心星
NPC,Previous,25/06/2025,跑馬地,780,維港激流,7,12,草地,C,1200,好/快,11,52,14,霍宏聲,TT,1044,127,縱橫天下,中環精英,紅錢到
NPC,Previous,22/06/2025,沙田,777,堅闖,13,14,草地,A,1400,好,14,64,154,楊明綸,B/SR,1061,122,非凡豪傑,綠野飛馳,一定超
NPC,Previous,22/06/2025,沙田,776,手到再來,8,14,草地,A,1600,好,2,62,21,賀銘年,TT,1142,119,龍城精將,增有,鐵金剛
NPC,Previous,22/06/2025,沙田,774,嘉應傳承,10,14,草地,A,1800,好,1,86,55,楊明綸,PC/TT,1178,115,美麗同享,百賀飛駒,有目共賞
NPC,Previous,22/06/2025,沙田,772,綠族無限,6,9,草地,A,1400,好,6,103,21,田泰安,,1098,122,合夥奔馳,越駿歡欣,包裝天將
NPC,Previous,22/06/2025,沙田,772,神虎龍駒,7,9,草地,A,1400,好,8,101,37,班德禮,,1045,120,合夥奔馳,越駿歡欣,包裝天將
NPC,Previous,22/06/2025,沙田,771,陽光寶貝,8,14,草地,A,1200,好,12,43,87,黃寶妮,B/TT,1174,108,弦力寶,白鷺金剛,增旺
NPC,Previous,22/06/2025,沙田,770,旋風傳奇,9,14,草地,A,1600,好,14,44,38,潘明輝,B-/TT,1123,119,英駿飛駒,火焰閃爍,彭玥
NPC,Previous,22/06/2025,沙田,769,閃電箭,10,14,草地,A,1200,好,4,52,47,周俊樂,,999,125,魯班精神,八駿福昇,綫路光驊
NPC,Previous,22/06/2025,沙田,768,步風雷,2,14,草地,A,2000,好,6,39,8.5,潘頓,TT,1032,132,皇金風速,步風雷,香港精神
NPC,Previous,22/06/2025,沙田,768,齊歡最樂,10,14,草地,A,2000,好,11,29,39,潘明輝,PC-/XB-/B2/TT,1195,122,皇金風速,步風雷,香港精神
NPC,Previous,14/06/2025,沙田,766,十力,11,13,草地,C+3,1400,好,6,62,95,黃寶妮,,1171,107,錶之星河,樂勝天下,勇冠群英
NPC,Previous,14/06/2025,沙田,764,包裝明駒,13,13,草地,C+3,1800,好,9,72,13,艾兆禮,TT,1139,131,春風萬里,君子傳承,天將龍駒
NPC,Previous,14/06/2025,沙田,762,友瑩仁,8,14,草地,C+3,1400,好,10,58,15,奧爾民,H2/TT,1091,133,哈羅威,環球英雄,龍城強將
NPC,Previous,14/06/2025,沙田,760,祥龍駒,2,14,草地,C+3,1400,好,10,48,17,艾道拿,B/TT,1082,123,真僥倖,祥龍駒,十二神將
NPC,Previous,14/06/2025,沙田,759,機械騎士,12,12,全天候,,1200,濕快,3,45,4.4,黃智弘,B/TT,1034,113,火神神樂,怡昌奇兵,川河型駒
NPC,Previous,14/06/2025,沙田,758,友瑩亮,1,12,草地,C+3,1200,好,2,52,12,黃智弘,CP1,1104,120,友瑩亮,飛輪霸,彩虹七色
NPC,Previous,14/06/2025,沙田,757,爆熱,11,14,草地,C+3,1600,好,10,39,14,巴度,H/PC/TT,1075,134,美麗多盈,勝得福,無極勇將
NPC,Previous,11/06/2025,跑馬地,754,盈妍威楓,2,12,草地,B,1650,好/快,10,67,13,梁家俊,B/TT,1088,127,時時精準,盈妍威楓,建測羣英
NPC,Previous,11/06/2025,跑馬地,751,精明選擇,12,12,草地,B,1650,好/快,12,43,19,湯普新,CP/TT,1109,119,川河首駒,至旺財,好好紛
NPC,Previous,11/06/2025,跑馬地,750,維港激流,2,12,草地,B,1200,好/快,6,50,16,黃智弘,B-/XB-/TT1,1053,122,喜勝駿駒,維港激流,駿馬之星
NPC,Previous,11/06/2025,跑馬地,749,神駒馬靈,6,11,草地,B,1650,好/快,8,48,4.2,梁家俊,PC/TT,1108,126,君智盛,博愛先鋒,多利神駒
NPC,Previous,11/06/2025,跑馬地,748,神舟彎月,11,12,草地,B,1000,好/快,4,45,95,湯普新,H-/P-/B1/TT-,1032,120,燭光晚餐,瑤瑤日上,快樂寶寶
